,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0
1930-1939,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.167,0.0
1940-1949,0.0,0.026,0.026,0.0,0.103,0.0,0.205,0.051,0.0,0.026,0.0,0.0,0.026,0.103,0.0,0.154,0.179,0.026,0.0,0.077
1950-1959,0.015,0.044,0.103,0.015,0.029,0.0,0.221,0.029,0.0,0.044,0.0,0.029,0.088,0.103,0.059,0.088,0.074,0.044,0.015,0.0
1960-1969,0.021,0.047,0.191,0.029,0.086,0.0,0.123,0.089,0.0,0.047,0.0,0.029,0.073,0.06,0.065,0.031,0.031,0.039,0.008,0.031
1970-1979,0.039,0.047,0.161,0.03,0.136,0.0,0.073,0.105,0.0,0.05,0.0,0.043,0.072,0.034,0.082,0.008,0.014,0.064,0.0,0.039
1980-1989,0.031,0.057,0.123,0.046,0.185,0.0,0.087,0.114,0.0,0.065,0.0,0.024,0.062,0.031,0.068,0.002,0.002,0.062,0.0,0.041
1990-1999,0.018,0.045,0.056,0.046,0.22,0.0,0.073,0.115,0.0,0.095,0.0,0.036,0.053,0.03,0.06,0.001,0.006,0.081,0.0,0.066
2000-2009,0.014,0.064,0.026,0.067,0.315,0.0,0.041,0.06,0.0,0.122,0.0,0.03,0.037,0.031,0.063,0.001,0.0,0.055,0.0,0.073
2010-2019,0.019,0.095,0.035,0.042,0.263,0.0,0.052,0.066,0.0,0.149,0.0,0.029,0.044,0.021,0.075,0.0,0.0,0.039,0.0,0.071
2020-2029,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
Total,0.014,0.048,0.081,0.025,0.14,0.0,0.095,0.091,0.0,0.063,0.0,0.02,0.064,0.078,0.043,0.041,0.028,0.075,0.04,0.054
