,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.167,0.0,0.056,0.111,0.0,0.056,0.0,0.0,0.056,0.0,0.0,0.056,0.0,0.167,0.222,0.0,0.056,0.0,0.056
1930-1939,0.0,0.103,0.077,0.0,0.051,0.0,0.077,0.026,0.0,0.051,0.0,0.0,0.154,0.154,0.0,0.103,0.154,0.0,0.051,0.0
1940-1949,0.006,0.04,0.096,0.011,0.09,0.0,0.107,0.096,0.0,0.017,0.0,0.006,0.062,0.13,0.045,0.186,0.034,0.028,0.034,0.011
1950-1959,0.017,0.04,0.125,0.0,0.074,0.0,0.17,0.119,0.0,0.017,0.0,0.011,0.057,0.108,0.0,0.102,0.08,0.011,0.045,0.023
1960-1969,0.043,0.033,0.146,0.025,0.113,0.0,0.093,0.104,0.0,0.046,0.0,0.033,0.106,0.045,0.074,0.024,0.041,0.041,0.011,0.022
1970-1979,0.042,0.046,0.16,0.026,0.137,0.0,0.097,0.112,0.0,0.049,0.0,0.036,0.082,0.031,0.067,0.005,0.011,0.062,0.002,0.033
1980-1989,0.033,0.049,0.117,0.04,0.206,0.0,0.07,0.116,0.0,0.067,0.0,0.022,0.059,0.026,0.096,0.003,0.004,0.049,0.001,0.043
1990-1999,0.023,0.049,0.058,0.04,0.26,0.0,0.077,0.108,0.0,0.071,0.0,0.042,0.054,0.03,0.063,0.001,0.002,0.072,0.001,0.049
2000-2009,0.018,0.048,0.032,0.078,0.317,0.0,0.049,0.046,0.0,0.139,0.0,0.035,0.032,0.023,0.057,0.0,0.002,0.053,0.0,0.072
2010-2019,0.008,0.062,0.028,0.075,0.287,0.0,0.048,0.051,0.0,0.174,0.0,0.025,0.034,0.017,0.064,0.0,0.001,0.043,0.001,0.081
2020-2029,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Total,0.017,0.058,0.076,0.05,0.168,0.0,0.095,0.071,0.0,0.062,0.0,0.019,0.081,0.051,0.057,0.059,0.03,0.038,0.013,0.054
