,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1960-1969,0.007,0.014,0.007,0.0,0.0,0.0,0.0,0.068,0.306,0.0,0.007,0.014,0.014,0.156,0.075,0.197,0.088,0.02,0.02,0.007
1970-1979,0.009,0.083,0.0,0.009,0.019,0.0,0.0,0.065,0.241,0.009,0.019,0.028,0.019,0.028,0.102,0.148,0.083,0.019,0.046,0.074
1980-1989,0.017,0.097,0.0,0.017,0.021,0.0,0.0,0.021,0.203,0.013,0.034,0.055,0.025,0.017,0.03,0.114,0.106,0.068,0.025,0.136
1990-1999,0.049,0.094,0.0,0.01,0.031,0.0,0.0,0.042,0.121,0.059,0.038,0.087,0.043,0.019,0.009,0.035,0.062,0.052,0.014,0.236
2000-2009,0.08,0.081,0.0,0.015,0.032,0.0,0.0,0.01,0.029,0.071,0.003,0.139,0.037,0.001,0.001,0.016,0.023,0.104,0.001,0.357
2010-2019,0.065,0.043,0.0,0.011,0.021,0.0,0.0,0.014,0.037,0.102,0.001,0.169,0.069,0.0,0.002,0.003,0.01,0.164,0.002,0.288
2020-2029,0.125,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.062,0.188,0.0,0.188,0.0,0.0,0.0,0.031,0.031,0.062,0.0,0.25
Total,0.035,0.069,0.001,0.006,0.012,0.0,0.0,0.025,0.17,0.044,0.01,0.088,0.041,0.022,0.047,0.195,0.04,0.049,0.011,0.135
