,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1960-1969,0.157,0.079,0.26,0.0,0.024,0.236,0.118,0.0,0.118,0.008
1970-1979,0.187,0.058,0.191,0.0,0.011,0.176,0.194,0.007,0.162,0.014
1980-1989,0.237,0.08,0.116,0.0,0.032,0.165,0.169,0.0,0.193,0.008
1990-1999,0.167,0.083,0.104,0.0,0.042,0.198,0.135,0.0,0.219,0.052
2000-2009,0.1,0.15,0.1,0.0,0.15,0.2,0.0,0.1,0.05,0.15
2010-2019,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,
Total,0.121,0.064,0.11,0.0,0.108,0.211,0.231,0.015,0.106,0.033
