,0,1,2,3,4,5,6,7,8,9
1920-1929,0.118,0.0,0.0,0.0,0.353,0.059,0.471,0.0,0.0,0.0
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.072,0.092,0.148,0.068,0.115,0.216,0.08,0.047,0.086,0.075
1970-1979,0.111,0.126,0.107,0.064,0.094,0.133,0.119,0.049,0.111,0.085
1980-1989,0.133,0.108,0.106,0.065,0.112,0.095,0.124,0.056,0.119,0.081
1990-1999,0.09,0.136,0.079,0.084,0.117,0.1,0.093,0.096,0.11,0.095
2000-2009,0.063,0.12,0.083,0.128,0.122,0.07,0.074,0.13,0.1,0.11
2010-2019,0.053,0.11,0.07,0.164,0.102,0.052,0.07,0.209,0.074,0.097
2020-2029,0.04,0.126,0.063,0.17,0.013,0.108,0.058,0.251,0.036,0.135
Total,0.085,0.102,0.082,0.093,0.129,0.104,0.136,0.105,0.08,0.085
