,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0
1960-1969,0.004,0.0,0.157,0.339,0.148,0.004,0.109,0.088,0.063,0.088
1970-1979,0.008,0.001,0.191,0.164,0.186,0.014,0.143,0.085,0.091,0.117
1980-1989,0.005,0.002,0.184,0.111,0.222,0.021,0.146,0.059,0.111,0.139
1990-1999,0.02,0.002,0.208,0.122,0.149,0.088,0.102,0.084,0.104,0.12
2000-2009,0.114,0.019,0.19,0.105,0.095,0.219,0.105,0.057,0.057,0.038
2010-2019,0.136,0.0,0.227,0.0,0.136,0.136,0.182,0.091,0.0,0.091
2020-2029,,,,,,,,,,
Total,0.041,0.003,0.201,0.156,0.134,0.069,0.112,0.138,0.061,0.085
