,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.188,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.062,0.062,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.062
1930-1939,0.0,0.0,0.0,0.033,0.033,0.033,0.033,0.0,0.1,0.0,0.0,0.0,0.033,0.067,0.0,0.033,0.0,0.033,0.0,0.033,0.0,0.0,0.033,0.033,0.0,0.033,0.0,0.033,0.0,0.033,0.133,0.0,0.033,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.067,0.0,0.033,0.0,0.0,0.0,0.0,0.033,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.019,0.0,0.0,0.077,0.038,0.0,0.019,0.0,0.019,0.019,0.019,0.019,0.0,0.019,0.0,0.0,0.0,0.096,0.077,0.0,0.0,0.0,0.0,0.019,0.077,0.0,0.019,0.0,0.019,0.0,0.0,0.0,0.058,0.0,0.019,0.019,0.0,0.077,0.0,0.019,0.0,0.038,0.019,0.0,0.019,0.115,0.019,0.019,0.019
1960-1969,0.02,0.012,0.019,0.018,0.034,0.018,0.017,0.02,0.02,0.021,0.018,0.029,0.018,0.022,0.016,0.019,0.019,0.017,0.021,0.019,0.013,0.021,0.016,0.018,0.018,0.02,0.02,0.02,0.015,0.02,0.016,0.02,0.018,0.022,0.026,0.021,0.022,0.025,0.026,0.024,0.018,0.023,0.023,0.013,0.02,0.024,0.024,0.018,0.019,0.021
1970-1979,0.022,0.011,0.02,0.02,0.028,0.02,0.021,0.023,0.019,0.017,0.016,0.02,0.019,0.017,0.022,0.014,0.02,0.024,0.021,0.022,0.011,0.021,0.022,0.018,0.019,0.02,0.015,0.017,0.025,0.017,0.019,0.024,0.02,0.018,0.02,0.023,0.018,0.029,0.024,0.028,0.018,0.024,0.021,0.016,0.015,0.023,0.02,0.019,0.024,0.018
1980-1989,0.024,0.011,0.021,0.016,0.019,0.023,0.016,0.019,0.025,0.019,0.02,0.022,0.019,0.017,0.02,0.021,0.019,0.022,0.019,0.021,0.012,0.016,0.019,0.021,0.023,0.023,0.017,0.021,0.018,0.022,0.02,0.023,0.02,0.02,0.02,0.02,0.022,0.024,0.017,0.033,0.019,0.016,0.019,0.022,0.019,0.018,0.022,0.018,0.021,0.019
1990-1999,0.019,0.021,0.019,0.023,0.018,0.017,0.02,0.023,0.017,0.022,0.021,0.02,0.016,0.018,0.02,0.021,0.023,0.022,0.02,0.022,0.017,0.021,0.016,0.019,0.019,0.022,0.02,0.02,0.021,0.018,0.021,0.014,0.021,0.02,0.018,0.021,0.022,0.02,0.015,0.018,0.014,0.022,0.018,0.03,0.029,0.022,0.02,0.02,0.022,0.017
2000-2009,0.02,0.034,0.02,0.024,0.019,0.015,0.019,0.025,0.014,0.021,0.02,0.018,0.014,0.019,0.015,0.02,0.028,0.017,0.019,0.012,0.025,0.019,0.015,0.02,0.016,0.018,0.03,0.025,0.014,0.018,0.026,0.012,0.021,0.019,0.019,0.017,0.033,0.018,0.016,0.017,0.014,0.024,0.021,0.028,0.02,0.019,0.024,0.02,0.019,0.023
2010-2019,0.024,0.04,0.018,0.026,0.017,0.016,0.024,0.016,0.016,0.019,0.021,0.016,0.015,0.029,0.023,0.02,0.023,0.018,0.02,0.017,0.042,0.017,0.02,0.027,0.017,0.019,0.028,0.019,0.013,0.017,0.021,0.016,0.018,0.018,0.015,0.015,0.022,0.017,0.014,0.012,0.019,0.02,0.018,0.026,0.02,0.015,0.02,0.016,0.022,0.02
2020-2029,0.017,0.05,0.017,0.05,0.0,0.034,0.025,0.008,0.025,0.0,0.025,0.008,0.0,0.008,0.042,0.008,0.017,0.017,0.042,0.008,0.076,0.0,0.025,0.025,0.034,0.025,0.008,0.008,0.017,0.008,0.008,0.017,0.034,0.008,0.008,0.017,0.025,0.042,0.0,0.008,0.008,0.059,0.0,0.017,0.008,0.017,0.017,0.0,0.059,0.017
Total,0.015,0.02,0.026,0.034,0.024,0.021,0.018,0.015,0.024,0.014,0.016,0.015,0.015,0.02,0.024,0.016,0.034,0.017,0.026,0.023,0.032,0.012,0.017,0.018,0.017,0.026,0.014,0.018,0.012,0.017,0.026,0.013,0.025,0.018,0.013,0.025,0.018,0.017,0.025,0.02,0.02,0.019,0.019,0.03,0.013,0.016,0.026,0.016,0.02,0.022
