,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.0,0.0,0.167,0.0,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.333,0.0,0.0,0.0,0.0
1970-1979,0.005,0.0,0.06,0.082,0.011,0.114,0.152,0.049,0.098,0.005,0.082,0.005,0.0,0.0,0.022,0.103,0.016,0.0,0.19,0.005
1980-1989,0.025,0.0,0.04,0.06,0.0,0.159,0.164,0.045,0.109,0.0,0.104,0.005,0.0,0.0,0.045,0.095,0.02,0.0,0.124,0.005
1990-1999,0.054,0.009,0.072,0.045,0.0,0.117,0.117,0.09,0.117,0.009,0.144,0.0,0.0,0.0,0.018,0.072,0.0,0.0,0.126,0.009
2000-2009,0.071,0.036,0.25,0.0,0.0,0.143,0.036,0.214,0.071,0.0,0.036,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107
2010-2019,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.026,0.007,0.126,0.059,0.002,0.117,0.106,0.122,0.122,0.002,0.061,0.008,0.0,0.0,0.042,0.101,0.006,0.0,0.073,0.021
