,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.0,0.025,0.088,0.006,0.075,0.075,0.056,0.075,0.0,0.094,0.0,0.0,0.0,0.2,0.212,0.006,0.0,0.088,0.0
1970-1979,0.003,0.0,0.037,0.074,0.007,0.14,0.064,0.067,0.127,0.0,0.144,0.003,0.0,0.0,0.047,0.13,0.01,0.0,0.144,0.003
1980-1989,0.008,0.011,0.029,0.086,0.005,0.126,0.166,0.064,0.131,0.005,0.115,0.011,0.0,0.0,0.035,0.08,0.008,0.0,0.115,0.005
1990-1999,0.068,0.0,0.076,0.03,0.008,0.098,0.098,0.083,0.159,0.023,0.076,0.015,0.0,0.015,0.023,0.053,0.03,0.0,0.114,0.03
2000-2009,0.097,0.032,0.226,0.0,0.0,0.032,0.0,0.161,0.161,0.0,0.129,0.032,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.065
2010-2019,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.046,0.007,0.132,0.046,0.004,0.079,0.067,0.072,0.109,0.038,0.126,0.027,0.0,0.003,0.051,0.079,0.02,0.0,0.077,0.017
