,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.019,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.117,0.0,0.0,0.0,0.272,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.065,0.0,0.003,0.083,0.005,0.003,0.0,0.0,0.03,0.005,0.001,0.0,0.079,0.191,0.0,0.0,0.001,0.0,0.001,0.054,0.0,0.0,0.003,0.0
1930-1939,0.001,0.0,0.007,0.0,0.0,0.072,0.0,0.003,0.0,0.002,0.0,0.0,0.003,0.112,0.0,0.0,0.001,0.246,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.048,0.0,0.0,0.088,0.011,0.007,0.0,0.002,0.047,0.005,0.0,0.0,0.107,0.172,0.001,0.0,0.001,0.0,0.0,0.056,0.0,0.0,0.003,0.0
1940-1949,0.0,0.0,0.012,0.001,0.004,0.063,0.0,0.004,0.0,0.0,0.0,0.001,0.0,0.111,0.0,0.001,0.0,0.284,0.001,0.001,0.001,0.0,0.002,0.001,0.0,0.0,0.044,0.001,0.0,0.079,0.007,0.009,0.0,0.002,0.041,0.005,0.001,0.0,0.078,0.194,0.001,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.001
1950-1959,0.003,0.002,0.018,0.0,0.0,0.063,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.14,0.0,0.0,0.002,0.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.003,0.068,0.006,0.011,0.0,0.0,0.055,0.006,0.0,0.0,0.134,0.137,0.003,0.002,0.002,0.0,0.0,0.065,0.002,0.0,0.0,0.002
1960-1969,0.0,0.0,0.013,0.0,0.004,0.076,0.0,0.002,0.002,0.0,0.001,0.0,0.001,0.163,0.0,0.004,0.0,0.19,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.069,0.0,0.0,0.069,0.012,0.009,0.0,0.004,0.06,0.004,0.0,0.0,0.11,0.142,0.001,0.0,0.0,0.0,0.001,0.048,0.001,0.0,0.006,0.002
1970-1979,0.0,0.0,0.009,0.007,0.002,0.064,0.0,0.0,0.0,0.0,0.002,0.005,0.0,0.152,0.0,0.002,0.005,0.187,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.04,0.0,0.002,0.1,0.002,0.005,0.0,0.007,0.062,0.0,0.0,0.0,0.116,0.171,0.002,0.002,0.0,0.0,0.002,0.043,0.0,0.0,0.005,0.0
1980-1989,0.0,0.0,0.005,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.202,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.08,0.009,0.0,0.0,0.0,0.113,0.009,0.0,0.0,0.094,0.141,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0
1990-1999,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.007,0.0,0.0,0.0,0.007,0.0,0.199,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.041,0.007,0.0,0.0,0.0,0.021,0.014,0.0,0.0,0.123,0.185,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0
2000-2009,0.0,0.0,0.007,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.06,0.0,0.0,0.037,0.0,0.007,0.0,0.0,0.052,0.007,0.0,0.0,0.082,0.134,0.007,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.0,0.0,0.02,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.041,0.041,0.0,0.0,0.102,0.184,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.0,0.0,0.009,0.001,0.003,0.074,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.141,0.0,0.001,0.001,0.224,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.06,0.0,0.001,0.067,0.006,0.007,0.0,0.002,0.052,0.01,0.0,0.0,0.103,0.165,0.002,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.002,0.001
