,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.055,0.0,0.003,0.0,0.0,0.001,0.006,0.0,0.0,0.108,0.455,0.18,0.0,0.001,0.19,0.0,0.0,0.0,0.0
1930-1939,0.0,0.051,0.001,0.002,0.0,0.0,0.004,0.005,0.001,0.0,0.143,0.417,0.164,0.0,0.0,0.213,0.0,0.0,0.0,0.0
1940-1949,0.0,0.044,0.0,0.008,0.0,0.0,0.0,0.003,0.0,0.0,0.147,0.481,0.162,0.0,0.0,0.155,0.0,0.0,0.0,0.0
1950-1959,0.0,0.049,0.0,0.011,0.0,0.0,0.006,0.006,0.0,0.0,0.189,0.384,0.197,0.0,0.002,0.156,0.0,0.0,0.0,0.0
1960-1969,0.0,0.034,0.0,0.019,0.0,0.001,0.01,0.003,0.003,0.0,0.186,0.345,0.196,0.0,0.0,0.199,0.0,0.0,0.001,0.0
1970-1979,0.0,0.032,0.0,0.016,0.0,0.0,0.009,0.002,0.0,0.0,0.196,0.367,0.187,0.0,0.0,0.185,0.0,0.005,0.0,0.0
1980-1989,0.0,0.017,0.004,0.021,0.0,0.0,0.012,0.0,0.0,0.0,0.207,0.369,0.191,0.004,0.004,0.17,0.0,0.0,0.0,0.0
1990-1999,0.0,0.037,0.0,0.03,0.0,0.0,0.007,0.007,0.0,0.0,0.304,0.252,0.215,0.0,0.007,0.133,0.0,0.0,0.007,0.0
2000-2009,0.0,0.039,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.355,0.158,0.0,0.0,0.211,0.0,0.0,0.0,0.0
2010-2019,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.25,0.295,0.182,0.0,0.0,0.205,0.0,0.023,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.0,0.038,0.001,0.014,0.0,0.0,0.005,0.003,0.003,0.0,0.194,0.372,0.183,0.0,0.001,0.182,0.0,0.003,0.001,0.0
