,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,
1960-1969,0.057,0.257,0.229,0.029,0.0,0.029,0.0,0.029,0.0,0.0,0.0,0.114,0.029,0.029,0.057,0.029,0.0,0.114,0.0
1970-1979,0.062,0.25,0.062,0.031,0.0,0.031,0.0,0.031,0.0,0.062,0.0,0.188,0.0,0.0,0.094,0.062,0.0,0.125,0.0
1980-1989,0.127,0.266,0.089,0.025,0.025,0.051,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.089,0.0,0.101,0.025
1990-1999,0.211,0.135,0.042,0.008,0.03,0.051,0.0,0.084,0.0,0.046,0.017,0.021,0.068,0.03,0.105,0.051,0.0,0.063,0.038
2000-2009,0.406,0.028,0.016,0.0,0.0,0.11,0.0,0.114,0.0,0.016,0.031,0.004,0.067,0.051,0.067,0.035,0.0,0.024,0.031
2010-2019,0.288,0.026,0.007,0.0,0.0,0.096,0.0,0.238,0.0,0.02,0.02,0.003,0.04,0.116,0.046,0.053,0.0,0.007,0.04
2020-2029,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.202,0.162,0.049,0.01,0.006,0.078,0.0,0.066,0.0,0.016,0.008,0.092,0.023,0.025,0.163,0.035,0.0,0.048,0.015
