,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.844,0.0,0.026,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.004
1930-1939,0.0,0.0,0.789,0.0,0.023,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.006
1940-1949,0.0,0.0,0.673,0.0,0.031,0.0,0.0,0.0,0.277,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.005
1950-1959,0.0,0.0,0.455,0.0,0.061,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.008
1960-1969,0.0,0.0,0.358,0.0,0.046,0.0,0.0,0.0,0.506,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.008
1970-1979,0.0,0.0,0.264,0.0,0.032,0.0,0.0,0.0,0.644,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.008
1980-1989,0.0,0.0,0.183,0.0,0.029,0.0,0.0,0.0,0.744,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.002,0.0,0.003
1990-1999,0.0,0.0,0.313,0.0,0.015,0.0,0.0,0.0,0.634,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.006
2000-2009,0.0,0.0,0.251,0.0,0.039,0.0,0.0,0.0,0.685,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.297,0.0,0.047,0.0,0.0,0.0,0.591,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.004
2020-2029,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.0,0.433,0.0,0.032,0.0,0.0,0.0,0.498,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.005
