,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.113,0.028,0.0,0.075,0.0,0.0,0.104,0.019,0.019,0.009,0.0,0.0,0.009,0.028,0.009,0.0,0.019,0.0,0.009,0.047,0.019,0.019,0.0,0.0,0.009,0.047,0.0,0.057,0.142,0.009,0.028,0.009,0.009,0.009,0.028,0.0,0.019,0.038,0.0,0.038,0.0,0.0,0.009,0.019,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.212,0.02,0.0,0.04,0.0,0.0,0.073,0.007,0.02,0.04,0.0,0.0,0.007,0.007,0.013,0.0,0.013,0.02,0.007,0.02,0.066,0.026,0.0,0.007,0.013,0.007,0.013,0.013,0.113,0.0,0.007,0.007,0.0,0.02,0.02,0.013,0.0,0.079,0.0,0.013,0.007,0.013,0.0,0.033,0.007,0.0,0.0,0.02,0.007,0.0
1940-1949,0.143,0.022,0.0,0.049,0.0,0.0,0.092,0.014,0.036,0.026,0.001,0.0,0.029,0.018,0.009,0.001,0.023,0.003,0.008,0.025,0.036,0.017,0.0,0.008,0.007,0.02,0.007,0.018,0.069,0.004,0.039,0.018,0.012,0.004,0.018,0.004,0.01,0.105,0.005,0.039,0.0,0.005,0.005,0.025,0.007,0.0,0.0,0.009,0.008,0.0
1950-1959,0.107,0.029,0.0,0.039,0.0,0.0,0.108,0.02,0.02,0.028,0.0,0.0,0.031,0.02,0.006,0.004,0.025,0.021,0.011,0.015,0.05,0.01,0.0,0.009,0.008,0.019,0.005,0.033,0.088,0.001,0.023,0.018,0.016,0.004,0.03,0.011,0.028,0.074,0.003,0.029,0.001,0.004,0.004,0.028,0.006,0.0,0.0,0.009,0.006,0.003
1960-1969,0.033,0.043,0.0,0.054,0.0,0.0,0.082,0.023,0.067,0.007,0.0,0.0,0.031,0.022,0.012,0.014,0.034,0.005,0.017,0.028,0.02,0.016,0.0,0.013,0.014,0.03,0.01,0.036,0.041,0.007,0.037,0.021,0.029,0.024,0.047,0.025,0.034,0.033,0.011,0.024,0.004,0.015,0.013,0.01,0.004,0.0,0.0,0.005,0.005,0.001
1970-1979,0.008,0.05,0.0,0.069,0.0,0.001,0.064,0.026,0.067,0.002,0.0,0.0,0.038,0.035,0.018,0.02,0.042,0.003,0.021,0.029,0.006,0.019,0.0,0.02,0.017,0.036,0.015,0.033,0.03,0.007,0.04,0.016,0.034,0.021,0.039,0.032,0.037,0.018,0.022,0.024,0.004,0.013,0.011,0.006,0.001,0.0,0.0,0.003,0.003,0.0
1980-1989,0.003,0.07,0.0,0.072,0.0,0.0,0.059,0.033,0.062,0.0,0.0,0.0,0.039,0.04,0.029,0.021,0.036,0.002,0.027,0.031,0.003,0.029,0.0,0.039,0.028,0.032,0.019,0.035,0.024,0.005,0.031,0.013,0.032,0.02,0.025,0.031,0.021,0.01,0.023,0.016,0.004,0.012,0.008,0.006,0.002,0.0,0.0,0.001,0.005,0.0
1990-1999,0.001,0.098,0.0,0.079,0.0,0.0,0.05,0.057,0.045,0.0,0.0,0.0,0.041,0.039,0.036,0.019,0.033,0.001,0.035,0.03,0.002,0.032,0.0,0.04,0.029,0.028,0.022,0.027,0.028,0.01,0.023,0.012,0.022,0.032,0.016,0.031,0.011,0.009,0.017,0.014,0.004,0.013,0.006,0.003,0.0,0.0,0.0,0.0,0.004,0.0
2000-2009,0.0,0.142,0.0,0.079,0.0,0.0,0.043,0.076,0.035,0.0,0.0,0.0,0.038,0.039,0.044,0.014,0.031,0.0,0.04,0.032,0.0,0.032,0.0,0.037,0.044,0.028,0.044,0.018,0.018,0.005,0.014,0.007,0.021,0.026,0.012,0.011,0.007,0.005,0.023,0.014,0.001,0.011,0.005,0.002,0.0,0.0,0.0,0.0,0.003,0.0
2010-2019,0.0,0.155,0.0,0.066,0.0,0.0,0.035,0.094,0.029,0.0,0.0,0.0,0.033,0.038,0.066,0.007,0.029,0.0,0.049,0.03,0.0,0.058,0.0,0.026,0.04,0.022,0.048,0.02,0.017,0.003,0.012,0.008,0.014,0.018,0.011,0.008,0.005,0.005,0.019,0.014,0.002,0.011,0.004,0.002,0.0,0.0,0.0,0.0,0.001,0.0
2020-2029,0.0,0.153,0.0,0.034,0.0,0.0,0.008,0.068,0.034,0.0,0.0,0.0,0.025,0.008,0.127,0.0,0.008,0.0,0.076,0.068,0.0,0.076,0.0,0.017,0.042,0.017,0.034,0.025,0.025,0.0,0.017,0.008,0.017,0.017,0.008,0.008,0.008,0.0,0.034,0.017,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.056,0.074,0.0,0.06,0.0,0.0,0.065,0.04,0.039,0.01,0.0,0.0,0.029,0.027,0.034,0.009,0.027,0.005,0.027,0.032,0.019,0.03,0.0,0.019,0.023,0.026,0.02,0.029,0.054,0.005,0.025,0.012,0.019,0.018,0.023,0.016,0.016,0.034,0.014,0.022,0.002,0.01,0.007,0.012,0.002,0.0,0.0,0.004,0.004,0.0
