,0,1,2,3,4,5,6,7,8,9
1920-1929,0.037,0.056,0.174,0.067,0.233,0.063,0.042,0.122,0.059,0.148
1930-1939,0.064,0.058,0.145,0.073,0.234,0.056,0.04,0.122,0.053,0.154
1940-1949,0.065,0.058,0.204,0.077,0.179,0.057,0.036,0.119,0.056,0.149
1950-1959,0.071,0.07,0.174,0.084,0.156,0.066,0.051,0.141,0.063,0.124
1960-1969,0.113,0.088,0.125,0.085,0.124,0.078,0.082,0.115,0.075,0.114
1970-1979,0.128,0.095,0.091,0.103,0.092,0.098,0.12,0.087,0.095,0.091
1980-1989,0.137,0.102,0.08,0.117,0.067,0.105,0.125,0.084,0.108,0.076
1990-1999,0.115,0.103,0.056,0.127,0.058,0.12,0.13,0.077,0.138,0.078
2000-2009,0.121,0.102,0.048,0.116,0.044,0.141,0.144,0.063,0.155,0.065
2010-2019,0.104,0.135,0.05,0.147,0.046,0.123,0.13,0.056,0.151,0.058
2020-2029,0.181,0.152,0.0,0.114,0.01,0.067,0.2,0.067,0.181,0.029
Total,0.103,0.093,0.104,0.101,0.113,0.089,0.1,0.096,0.103,0.099
